Pot,Genotype,Treatment,Nutrient,NumLeaf,Experiment,Box,leaf_lenght_cm
24,B73,No Bacteria,1/4 Hoagland,L4,1,3,25.614
24,B73,No Bacteria,1/4 Hoagland,L5,1,3,10.871
25,B73,Full syncom,1/4 Hoagland,L1,1,4,4.795
25,B73,Full syncom,1/4 Hoagland,L2,1,4,13.659
25,B73,Full syncom,1/4 Hoagland,L3,1,4,29.644
25,B73,Full syncom,1/4 Hoagland,L4,1,4,31.664
25,B73,Full syncom,1/4 Hoagland,L5,1,4,15.499
26,B73,Full syncom,1/4 Hoagland,L1,1,4,4.522
26,B73,Full syncom,1/4 Hoagland,L2,1,4,12.367
26,B73,Full syncom,1/4 Hoagland,L3,1,4,27.628
26,B73,Full syncom,1/4 Hoagland,L4,1,4,29.896
26,B73,Full syncom,1/4 Hoagland,L5,1,4,14.714
27,B73,Full syncom,1/4 Hoagland,L1,1,4,3.901
27,B73,Full syncom,1/4 Hoagland,L2,1,4,12.705
27,B73,Full syncom,1/4 Hoagland,L3,1,4,25.002
27,B73,Full syncom,1/4 Hoagland,L4,1,4,27.553
27,B73,Full syncom,1/4 Hoagland,L5,1,4,14.632
28,B73,Full syncom,1/4 Hoagland,L1,1,4,2.519
28,B73,Full syncom,1/4 Hoagland,L2,1,4,7.119
28,B73,Full syncom,1/4 Hoagland,L3,1,4,15.582
28,B73,Full syncom,1/4 Hoagland,L4,1,4,24.165
28,B73,Full syncom,1/4 Hoagland,L5,1,4,10.548
29,B73,Full syncom,1/4 Hoagland,L1,1,4,2.899
29,B73,Full syncom,1/4 Hoagland,L2,1,4,9.919
29,B73,Full syncom,1/4 Hoagland,L3,1,4,20.103
29,B73,Full syncom,1/4 Hoagland,L4,1,4,23.974
29,B73,Full syncom,1/4 Hoagland,L5,1,4,11.242
30,B73,Full syncom,1/4 Hoagland,L1,1,4,3.787
30,B73,Full syncom,1/4 Hoagland,L2,1,4,13.353
30,B73,Full syncom,1/4 Hoagland,L3,1,4,25.556
30,B73,Full syncom,1/4 Hoagland,L4,1,4,30.992
30,B73,Full syncom,1/4 Hoagland,L5,1,4,15.27
37,B73,No Bacteria,Full Hoagland,L1,2,1,3.733
37,B73,No Bacteria,Full Hoagland,L2,2,1,14.289
37,B73,No Bacteria,Full Hoagland,L3,2,1,28.282
37,B73,No Bacteria,Full Hoagland,L4,2,1,35.298
37,B73,No Bacteria,Full Hoagland,L5,2,1,18.499
37,B73,No Bacteria,Full Hoagland,L6,2,1,8.84
38,B73,No Bacteria,Full Hoagland,L1,2,1,3.949
38,B73,No Bacteria,Full Hoagland,L2,2,1,12.897
38,B73,No Bacteria,Full Hoagland,L3,2,1,28.104
38,B73,No Bacteria,Full Hoagland,L4,2,1,31.472
38,B73,No Bacteria,Full Hoagland,L5,2,1,21.933
39,B73,No Bacteria,Full Hoagland,L1,2,1,4.66
39,B73,No Bacteria,Full Hoagland,L2,2,1,12.687
39,B73,No Bacteria,Full Hoagland,L3,2,1,21.347
39,B73,No Bacteria,Full Hoagland,L4,2,1,28.328
39,B73,No Bacteria,Full Hoagland,L5,2,1,18.891
40,B73,No Bacteria,Full Hoagland,L1,2,1,3.792
40,B73,No Bacteria,Full Hoagland,L2,2,1,11.591
40,B73,No Bacteria,Full Hoagland,L3,2,1,21.378
40,B73,No Bacteria,Full Hoagland,L4,2,1,20.198
40,B73,No Bacteria,Full Hoagland,L5,2,1,21.79
40,B73,No Bacteria,Full Hoagland,L6,2,1,NA
41,B73,No Bacteria,Full Hoagland,L1,2,1,2.471
41,B73,No Bacteria,Full Hoagland,L2,2,1,9.331
41,B73,No Bacteria,Full Hoagland,L3,2,1,22.774
41,B73,No Bacteria,Full Hoagland,L4,2,1,30.637
41,B73,No Bacteria,Full Hoagland,L5,2,1,21.994
42,B73,No Bacteria,Full Hoagland,L1,2,1,5.506
42,B73,No Bacteria,Full Hoagland,L2,2,1,11.856
42,B73,No Bacteria,Full Hoagland,L3,2,1,27.233
42,B73,No Bacteria,Full Hoagland,L4,2,1,33.656
42,B73,No Bacteria,Full Hoagland,L5,2,1,20.504
42,B73,No Bacteria,Full Hoagland,L6,2,1,NA
43,B73,Full syncom,Full Hoagland,L1,2,2,3.682
43,B73,Full syncom,Full Hoagland,L2,2,2,10.287
43,B73,Full syncom,Full Hoagland,L3,2,2,26.207
43,B73,Full syncom,Full Hoagland,L4,2,2,33.643
43,B73,Full syncom,Full Hoagland,L5,2,2,15.257
43,B73,Full syncom,Full Hoagland,L6,2,2,NA
44,B73,Full syncom,Full Hoagland,L1,2,2,4.81
44,B73,Full syncom,Full Hoagland,L2,2,2,13.406
44,B73,Full syncom,Full Hoagland,L3,2,2,29.654
44,B73,Full syncom,Full Hoagland,L4,2,2,34.708
44,B73,Full syncom,Full Hoagland,L5,2,2,22.197
45,B73,Full syncom,Full Hoagland,L1,2,2,2.783
45,B73,Full syncom,Full Hoagland,L2,2,2,9.473
45,B73,Full syncom,Full Hoagland,L3,2,2,26.409
45,B73,Full syncom,Full Hoagland,L4,2,2,29.931
45,B73,Full syncom,Full Hoagland,L5,2,2,18.979
45,B73,Full syncom,Full Hoagland,L6,2,2,NA
46,B73,Full syncom,Full Hoagland,L1,2,2,6.07
46,B73,Full syncom,Full Hoagland,L2,2,2,14.113
46,B73,Full syncom,Full Hoagland,L3,2,2,30.278
46,B73,Full syncom,Full Hoagland,L4,2,2,34.836
46,B73,Full syncom,Full Hoagland,L5,2,2,22.329
46,B73,Full syncom,Full Hoagland,L6,2,2,NA
47,B73,Full syncom,Full Hoagland,L1,2,2,5.212
47,B73,Full syncom,Full Hoagland,L2,2,2,12.806
47,B73,Full syncom,Full Hoagland,L3,2,2,27.583
47,B73,Full syncom,Full Hoagland,L4,2,2,34.697
47,B73,Full syncom,Full Hoagland,L5,2,2,22.578
47,B73,Full syncom,Full Hoagland,L6,2,2,NA
48,B73,Full syncom,Full Hoagland,L1,2,2,3.154
48,B73,Full syncom,Full Hoagland,L2,2,2,6.955
48,B73,Full syncom,Full Hoagland,L3,2,2,18.895
48,B73,Full syncom,Full Hoagland,L4,2,2,29.065
48,B73,Full syncom,Full Hoagland,L5,2,2,13.877
48,B73,Full syncom,Full Hoagland,L6,2,2,NA
55,B73,No Bacteria,1/4 Hoagland,L1,2,3,2.309
55,B73,No Bacteria,1/4 Hoagland,L2,2,3,7.957
55,B73,No Bacteria,1/4 Hoagland,L3,2,3,16.277
55,B73,No Bacteria,1/4 Hoagland,L4,2,3,22.075
55,B73,No Bacteria,1/4 Hoagland,L5,2,3,10.855
56,B73,No Bacteria,1/4 Hoagland,L1,2,3,2.865
56,B73,No Bacteria,1/4 Hoagland,L2,2,3,8.17
56,B73,No Bacteria,1/4 Hoagland,L3,2,3,21.448
56,B73,No Bacteria,1/4 Hoagland,L4,2,3,26.146
56,B73,No Bacteria,1/4 Hoagland,L5,2,3,11.961
57,B73,No Bacteria,1/4 Hoagland,L1,2,3,3.637
57,B73,No Bacteria,1/4 Hoagland,L2,2,3,8.958
57,B73,No Bacteria,1/4 Hoagland,L3,2,3,17.773
57,B73,No Bacteria,1/4 Hoagland,L4,2,3,24.921
57,B73,No Bacteria,1/4 Hoagland,L5,2,3,16.245
58,B73,No Bacteria,1/4 Hoagland,L1,2,3,4.431
58,B73,No Bacteria,1/4 Hoagland,L2,2,3,12.1
58,B73,No Bacteria,1/4 Hoagland,L3,2,3,20.122
58,B73,No Bacteria,1/4 Hoagland,L4,2,3,25.888
58,B73,No Bacteria,1/4 Hoagland,L5,2,3,11.144
59,B73,No Bacteria,1/4 Hoagland,L1,2,3,3.755
59,B73,No Bacteria,1/4 Hoagland,L2,2,3,12.861
59,B73,No Bacteria,1/4 Hoagland,L3,2,3,25.979
59,B73,No Bacteria,1/4 Hoagland,L4,2,3,28.022
59,B73,No Bacteria,1/4 Hoagland,L5,2,3,15.514
60,B73,No Bacteria,1/4 Hoagland,L1,2,3,NA
60,B73,No Bacteria,1/4 Hoagland,L2,2,3,NA
60,B73,No Bacteria,1/4 Hoagland,L3,2,3,NA
60,B73,No Bacteria,1/4 Hoagland,L4,2,3,NA
60,B73,No Bacteria,1/4 Hoagland,L5,2,3,NA
61,B73,Full syncom,1/4 Hoagland,L1,2,4,3.151
61,B73,Full syncom,1/4 Hoagland,L2,2,4,9.796
61,B73,Full syncom,1/4 Hoagland,L3,2,4,23.512
61,B73,Full syncom,1/4 Hoagland,L4,2,4,32.435
61,B73,Full syncom,1/4 Hoagland,L5,2,4,13.842
62,B73,Full syncom,1/4 Hoagland,L1,2,4,4.197
62,B73,Full syncom,1/4 Hoagland,L2,2,4,8.989
62,B73,Full syncom,1/4 Hoagland,L3,2,4,26.667
62,B73,Full syncom,1/4 Hoagland,L4,2,4,30.57
62,B73,Full syncom,1/4 Hoagland,L5,2,4,16.004
63,B73,Full syncom,1/4 Hoagland,L1,2,4,3.912
63,B73,Full syncom,1/4 Hoagland,L2,2,4,11.342
63,B73,Full syncom,1/4 Hoagland,L3,2,4,23.19
63,B73,Full syncom,1/4 Hoagland,L4,2,4,29.886
63,B73,Full syncom,1/4 Hoagland,L5,2,4,12.852
64,B73,Full syncom,1/4 Hoagland,L1,2,4,3.686
64,B73,Full syncom,1/4 Hoagland,L2,2,4,8.558
64,B73,Full syncom,1/4 Hoagland,L3,2,4,21.887
64,B73,Full syncom,1/4 Hoagland,L4,2,4,29.394
64,B73,Full syncom,1/4 Hoagland,L5,2,4,15.1
65,B73,Full syncom,1/4 Hoagland,L1,2,4,NA
65,B73,Full syncom,1/4 Hoagland,L2,2,4,NA
65,B73,Full syncom,1/4 Hoagland,L3,2,4,NA
65,B73,Full syncom,1/4 Hoagland,L4,2,4,NA
65,B73,Full syncom,1/4 Hoagland,L5,2,4,NA
66,B73,Full syncom,1/4 Hoagland,L1,2,4,1.97
66,B73,Full syncom,1/4 Hoagland,L2,2,4,7.221
66,B73,Full syncom,1/4 Hoagland,L3,2,4,15.454
66,B73,Full syncom,1/4 Hoagland,L4,2,4,21.921
66,B73,Full syncom,1/4 Hoagland,L5,2,4,7.674
1,B73,No Bacteria,Full Hoagland,L1,3,1,3.001
1,B73,No Bacteria,Full Hoagland,L2,3,1,10.876
1,B73,No Bacteria,Full Hoagland,L3,3,1,18.027
1,B73,No Bacteria,Full Hoagland,L4,3,1,20.18
1,B73,No Bacteria,Full Hoagland,L5,3,1,6.693
2,B73,No Bacteria,Full Hoagland,L1,3,1,2.616
2,B73,No Bacteria,Full Hoagland,L2,3,1,10.154
2,B73,No Bacteria,Full Hoagland,L3,3,1,28.754
2,B73,No Bacteria,Full Hoagland,L4,3,1,29.395
2,B73,No Bacteria,Full Hoagland,L5,3,1,12.042
3,B73,No Bacteria,Full Hoagland,L1,3,1,4.892
3,B73,No Bacteria,Full Hoagland,L2,3,1,12.283
3,B73,No Bacteria,Full Hoagland,L3,3,1,16.736
3,B73,No Bacteria,Full Hoagland,L4,3,1,23.199
3,B73,No Bacteria,Full Hoagland,L5,3,1,20.054
4,B73,No Bacteria,Full Hoagland,L1,3,1,3.966
4,B73,No Bacteria,Full Hoagland,L2,3,1,13.588
4,B73,No Bacteria,Full Hoagland,L3,3,1,23.291
4,B73,No Bacteria,Full Hoagland,L4,3,1,29.067
4,B73,No Bacteria,Full Hoagland,L5,3,1,14.551
5,B73,No Bacteria,Full Hoagland,L1,3,1,1.585
5,B73,No Bacteria,Full Hoagland,L2,3,1,12.478
5,B73,No Bacteria,Full Hoagland,L3,3,1,24.522
5,B73,No Bacteria,Full Hoagland,L4,3,1,24.092
5,B73,No Bacteria,Full Hoagland,L5,3,1,13.587
6,B73,No Bacteria,Full Hoagland,L1,3,1,3.173
6,B73,No Bacteria,Full Hoagland,L2,3,1,11.832
6,B73,No Bacteria,Full Hoagland,L3,3,1,20.798
6,B73,No Bacteria,Full Hoagland,L4,3,1,24.548
6,B73,No Bacteria,Full Hoagland,L5,3,1,15.732
7,B73,Full syncom,Full Hoagland,L1,3,2,1.632
7,B73,Full syncom,Full Hoagland,L2,3,2,11.441
7,B73,Full syncom,Full Hoagland,L3,3,2,18.627
7,B73,Full syncom,Full Hoagland,L4,3,2,27.049
7,B73,Full syncom,Full Hoagland,L5,3,2,13.754
8,B73,Full syncom,Full Hoagland,L1,3,2,3.508
8,B73,Full syncom,Full Hoagland,L2,3,2,15.293
8,B73,Full syncom,Full Hoagland,L3,3,2,26.701
8,B73,Full syncom,Full Hoagland,L4,3,2,31.691
8,B73,Full syncom,Full Hoagland,L5,3,2,19.836
9,B73,Full syncom,Full Hoagland,L1,3,2,2.983
9,B73,Full syncom,Full Hoagland,L2,3,2,17.125
9,B73,Full syncom,Full Hoagland,L3,3,2,31.924
9,B73,Full syncom,Full Hoagland,L4,3,2,36.102
9,B73,Full syncom,Full Hoagland,L5,3,2,18.259
10,B73,Full syncom,Full Hoagland,L1,3,2,4.105
10,B73,Full syncom,Full Hoagland,L2,3,2,15.011
10,B73,Full syncom,Full Hoagland,L3,3,2,27.069
10,B73,Full syncom,Full Hoagland,L4,3,2,28.652
10,B73,Full syncom,Full Hoagland,L5,3,2,14.785
11,B73,Full syncom,Full Hoagland,L1,3,2,3.472
11,B73,Full syncom,Full Hoagland,L2,3,2,12.906
11,B73,Full syncom,Full Hoagland,L3,3,2,23.728
11,B73,Full syncom,Full Hoagland,L4,3,2,27.523
11,B73,Full syncom,Full Hoagland,L5,3,2,14.941
12,B73,Full syncom,Full Hoagland,L1,3,2,3.121
12,B73,Full syncom,Full Hoagland,L2,3,2,9.488
12,B73,Full syncom,Full Hoagland,L3,3,2,16.794
12,B73,Full syncom,Full Hoagland,L4,3,2,26.877
12,B73,Full syncom,Full Hoagland,L5,3,2,17.924
13,B73,No Bacteria,1/4 Hoagland,L1,3,3,2.911
13,B73,No Bacteria,1/4 Hoagland,L2,3,3,7.577
13,B73,No Bacteria,1/4 Hoagland,L3,3,3,20.911
13,B73,No Bacteria,1/4 Hoagland,L4,3,3,28.047
13,B73,No Bacteria,1/4 Hoagland,L5,3,3,11.367
14,B73,No Bacteria,1/4 Hoagland,L1,3,3,2.159
14,B73,No Bacteria,1/4 Hoagland,L2,3,3,10.176
14,B73,No Bacteria,1/4 Hoagland,L3,3,3,17.608
14,B73,No Bacteria,1/4 Hoagland,L4,3,3,23.811
14,B73,No Bacteria,1/4 Hoagland,L5,3,3,10.858
15,B73,No Bacteria,1/4 Hoagland,L1,3,3,4.197
15,B73,No Bacteria,1/4 Hoagland,L2,3,3,12.274
15,B73,No Bacteria,1/4 Hoagland,L3,3,3,20.195
15,B73,No Bacteria,1/4 Hoagland,L4,3,3,17.191
15,B73,No Bacteria,1/4 Hoagland,L5,3,3,12.287
16,B73,No Bacteria,1/4 Hoagland,L1,3,3,4.881
16,B73,No Bacteria,1/4 Hoagland,L2,3,3,7.508
16,B73,No Bacteria,1/4 Hoagland,L3,3,3,24.897
16,B73,No Bacteria,1/4 Hoagland,L4,3,3,23.283
16,B73,No Bacteria,1/4 Hoagland,L5,3,3,9.932
17,B73,No Bacteria,1/4 Hoagland,L1,3,3,3.679
17,B73,No Bacteria,1/4 Hoagland,L2,3,3,15.109
17,B73,No Bacteria,1/4 Hoagland,L3,3,3,21.884
17,B73,No Bacteria,1/4 Hoagland,L4,3,3,22.01
17,B73,No Bacteria,1/4 Hoagland,L5,3,3,16.506
18,B73,No Bacteria,1/4 Hoagland,L1,3,3,2.083
18,B73,No Bacteria,1/4 Hoagland,L2,3,3,11.498
18,B73,No Bacteria,1/4 Hoagland,L3,3,3,16.806
18,B73,No Bacteria,1/4 Hoagland,L4,3,3,24.397
18,B73,No Bacteria,1/4 Hoagland,L5,3,3,8.476
19,B73,Full syncom,1/4 Hoagland,L1,3,4,3.438
19,B73,Full syncom,1/4 Hoagland,L2,3,4,10.994
19,B73,Full syncom,1/4 Hoagland,L3,3,4,26.438
19,B73,Full syncom,1/4 Hoagland,L4,3,4,29.132
19,B73,Full syncom,1/4 Hoagland,L5,3,4,13.783
20,B73,Full syncom,1/4 Hoagland,L1,3,4,3.642
20,B73,Full syncom,1/4 Hoagland,L2,3,4,12.076
20,B73,Full syncom,1/4 Hoagland,L3,3,4,27.398
20,B73,Full syncom,1/4 Hoagland,L4,3,4,25.365
20,B73,Full syncom,1/4 Hoagland,L5,3,4,8.813
21,B73,Full syncom,1/4 Hoagland,L1,3,4,3.41
21,B73,Full syncom,1/4 Hoagland,L2,3,4,13.827
21,B73,Full syncom,1/4 Hoagland,L3,3,4,23.051
21,B73,Full syncom,1/4 Hoagland,L4,3,4,27.773
21,B73,Full syncom,1/4 Hoagland,L5,3,4,11.829
22,B73,Full syncom,1/4 Hoagland,L1,3,4,4.995
22,B73,Full syncom,1/4 Hoagland,L2,3,4,14.086
22,B73,Full syncom,1/4 Hoagland,L3,3,4,27.224
22,B73,Full syncom,1/4 Hoagland,L4,3,4,26.655
22,B73,Full syncom,1/4 Hoagland,L5,3,4,15.226
23,B73,Full syncom,1/4 Hoagland,L1,3,4,3.265
23,B73,Full syncom,1/4 Hoagland,L2,3,4,13.344
23,B73,Full syncom,1/4 Hoagland,L3,3,4,21.64
23,B73,Full syncom,1/4 Hoagland,L4,3,4,21.279
23,B73,Full syncom,1/4 Hoagland,L5,3,4,11.983
24,B73,Full syncom,1/4 Hoagland,L1,3,4,3.554
24,B73,Full syncom,1/4 Hoagland,L2,3,4,11.768
24,B73,Full syncom,1/4 Hoagland,L3,3,4,16.574
24,B73,Full syncom,1/4 Hoagland,L4,3,4,18.145
24,B73,Full syncom,1/4 Hoagland,L5,3,4,7.541
49,B73,No Bacteria,Full Hoagland,L1,4,1,4.471
49,B73,No Bacteria,Full Hoagland,L2,4,1,13.043
49,B73,No Bacteria,Full Hoagland,L3,4,1,26.753
49,B73,No Bacteria,Full Hoagland,L4,4,1,32.677
49,B73,No Bacteria,Full Hoagland,L5,4,1,16.554
50,B73,No Bacteria,Full Hoagland,L1,4,1,4.502
50,B73,No Bacteria,Full Hoagland,L2,4,1,15.014
50,B73,No Bacteria,Full Hoagland,L3,4,1,14.838
50,B73,No Bacteria,Full Hoagland,L4,4,1,30.972
50,B73,No Bacteria,Full Hoagland,L5,4,1,21.876
50,B73,No Bacteria,Full Hoagland,L6,4,1,9.97
51,B73,No Bacteria,Full Hoagland,L1,4,1,2.52
51,B73,No Bacteria,Full Hoagland,L2,4,1,11.177
51,B73,No Bacteria,Full Hoagland,L3,4,1,24.246
51,B73,No Bacteria,Full Hoagland,L4,4,1,28.6
51,B73,No Bacteria,Full Hoagland,L5,4,1,17.167
52,B73,No Bacteria,Full Hoagland,L1,4,1,3.67
52,B73,No Bacteria,Full Hoagland,L2,4,1,7.872
52,B73,No Bacteria,Full Hoagland,L3,4,1,20.976
52,B73,No Bacteria,Full Hoagland,L4,4,1,21.483
52,B73,No Bacteria,Full Hoagland,L5,4,1,13.599
53,B73,No Bacteria,Full Hoagland,L1,4,1,4.878
53,B73,No Bacteria,Full Hoagland,L2,4,1,13.452
53,B73,No Bacteria,Full Hoagland,L3,4,1,28.505
53,B73,No Bacteria,Full Hoagland,L4,4,1,32.814
53,B73,No Bacteria,Full Hoagland,L5,4,1,17.782
54,B73,No Bacteria,Full Hoagland,L1,4,1,3.716
54,B73,No Bacteria,Full Hoagland,L2,4,1,14.06
54,B73,No Bacteria,Full Hoagland,L3,4,1,25.109
54,B73,No Bacteria,Full Hoagland,L4,4,1,28.953
54,B73,No Bacteria,Full Hoagland,L5,4,1,19.098
55,B73,Full syncom,Full Hoagland,L1,4,2,4.094
55,B73,Full syncom,Full Hoagland,L2,4,2,13.679
55,B73,Full syncom,Full Hoagland,L3,4,2,30.026
55,B73,Full syncom,Full Hoagland,L4,4,2,34.175
55,B73,Full syncom,Full Hoagland,L5,4,2,19.606
56,B73,Full syncom,Full Hoagland,L1,4,2,4.256
56,B73,Full syncom,Full Hoagland,L2,4,2,15.366
56,B73,Full syncom,Full Hoagland,L3,4,2,29.667
56,B73,Full syncom,Full Hoagland,L4,4,2,33.083
56,B73,Full syncom,Full Hoagland,L5,4,2,21.086
57,B73,Full syncom,Full Hoagland,L1,4,2,2.169
57,B73,Full syncom,Full Hoagland,L2,4,2,6.438
57,B73,Full syncom,Full Hoagland,L3,4,2,19.148
57,B73,Full syncom,Full Hoagland,L4,4,2,27.565
57,B73,Full syncom,Full Hoagland,L5,4,2,17.012
58,B73,Full syncom,Full Hoagland,L1,4,2,2.786
58,B73,Full syncom,Full Hoagland,L2,4,2,10.921
58,B73,Full syncom,Full Hoagland,L3,4,2,24.487
58,B73,Full syncom,Full Hoagland,L4,4,2,32.428
58,B73,Full syncom,Full Hoagland,L5,4,2,23.599
59,B73,Full syncom,Full Hoagland,L1,4,2,2.16
59,B73,Full syncom,Full Hoagland,L2,4,2,7.616
59,B73,Full syncom,Full Hoagland,L3,4,2,22.86
59,B73,Full syncom,Full Hoagland,L4,4,2,34.017
59,B73,Full syncom,Full Hoagland,L5,4,2,16.465
60,B73,Full syncom,Full Hoagland,L1,4,2,2.682
60,B73,Full syncom,Full Hoagland,L2,4,2,13.211
60,B73,Full syncom,Full Hoagland,L3,4,2,29.266
60,B73,Full syncom,Full Hoagland,L4,4,2,35.945
60,B73,Full syncom,Full Hoagland,L5,4,2,21.77
61,B73,No Bacteria,1/4 Hoagland,L1,4,3,2.953
61,B73,No Bacteria,1/4 Hoagland,L2,4,3,12.922
61,B73,No Bacteria,1/4 Hoagland,L3,4,3,23.802
61,B73,No Bacteria,1/4 Hoagland,L4,4,3,28.822
61,B73,No Bacteria,1/4 Hoagland,L5,4,3,17.499
