UiD,num_pot,genotype,soil,treatment,id,num_leaf,tray,experiment,region,north_LatY,west_LongX,country,dw_g,dw_mg
631,R90,Zm523,Sao Domingos,50%FC,R90,L5,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0864,86.4
628,R90,Zm523,Sao Domingos,50%FC,R90,L2,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0349,34.9
757,R109,B73,Sao Domingos,50%FC,R109,L5,10,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0878,87.8
759,R109,B73,Sao Domingos,50%FC,R109,Stem,10,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.2559,255.9
820,R118,B73,Sutton Bonington,50%FC,R118,L5,10,2,Sutton Bonington,52.833265,-1.24906,UK,0.1737,173.7
758,R109,B73,Sao Domingos,50%FC,R109,L6,10,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0031,3.1
822,R118,B73,Sutton Bonington,50%FC,R118,Stem,10,2,Sutton Bonington,52.833265,-1.24906,UK,0.3091,309.1
619,R88,Zm523,Tarrafal,50%FC,R88,L5,6,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0343,34.3
817,R118,B73,Sutton Bonington,50%FC,R118,L2,10,2,Sutton Bonington,52.833265,-1.24906,UK,0.026,26
618,R88,Zm523,Tarrafal,50%FC,R88,L4,6,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0742,74.2
821,R118,B73,Sutton Bonington,50%FC,R118,L6,10,2,Sutton Bonington,52.833265,-1.24906,UK,0.0595,59.5
818,R118,B73,Sutton Bonington,50%FC,R118,L3,10,2,Sutton Bonington,52.833265,-1.24906,UK,0.0815,81.5
615,R88,Zm523,Tarrafal,50%FC,R88,L1,6,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0097,9.7
676,R97,Zm523,Sutton Bonington,50%FC,R97,L2,6,2,Sutton Bonington,52.833265,-1.24906,UK,0.0402,40.2
819,R118,B73,Sutton Bonington,50%FC,R118,L4,10,2,Sutton Bonington,52.833265,-1.24906,UK,0.1518,151.8
753,R109,B73,Sao Domingos,50%FC,R109,L1,10,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0078,7.8
755,R109,B73,Sao Domingos,50%FC,R109,L3,10,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0747,74.7
617,R88,Zm523,Tarrafal,50%FC,R88,L3,6,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0612,61.2
680,R97,Zm523,Sutton Bonington,50%FC,R97,L6,6,2,Sutton Bonington,52.833265,-1.24906,UK,0.0357,35.7
816,R118,B73,Sutton Bonington,50%FC,R118,L1,10,2,Sutton Bonington,52.833265,-1.24906,UK,0.0077,7.7
677,R97,Zm523,Sutton Bonington,50%FC,R97,L3,6,2,Sutton Bonington,52.833265,-1.24906,UK,0.0983,98.3
756,R109,B73,Sao Domingos,50%FC,R109,L4,10,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.1268,126.8
672,R96,Zm523,Sutton Bonington,50%FC,R96,L5,6,2,Sutton Bonington,52.833265,-1.24906,UK,0.1227,122.7
674,R96,Zm523,Sutton Bonington,50%FC,R96,Stem,6,2,Sutton Bonington,52.833265,-1.24906,UK,0.346,346
669,R96,Zm523,Sutton Bonington,50%FC,R96,L2,6,2,Sutton Bonington,52.833265,-1.24906,UK,0.0396,39.6
668,R96,Zm523,Sutton Bonington,50%FC,R96,L1,6,2,Sutton Bonington,52.833265,-1.24906,UK,0.0119,11.9
670,R96,Zm523,Sutton Bonington,50%FC,R96,L3,6,2,Sutton Bonington,52.833265,-1.24906,UK,0.0978,97.8
671,R96,Zm523,Sutton Bonington,50%FC,R96,L4,6,2,Sutton Bonington,52.833265,-1.24906,UK,0.1926,192.6
620,R88,Zm523,Tarrafal,50%FC,R88,Stem,6,2,Colonato,15.254874,-23.744146,Cabo Verde,0.1489,148.9
673,R96,Zm523,Sutton Bonington,50%FC,R96,L6,6,2,Sutton Bonington,52.833265,-1.24906,UK,0.0169,16.9
754,R109,B73,Sao Domingos,50%FC,R109,L2,10,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0279,27.9
616,R88,Zm523,Tarrafal,50%FC,R88,L2,6,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0271,27.1
675,R97,Zm523,Sutton Bonington,50%FC,R97,L1,6,2,Sutton Bonington,52.833265,-1.24906,UK,0.011,11
679,R97,Zm523,Sutton Bonington,50%FC,R97,L5,6,2,Sutton Bonington,52.833265,-1.24906,UK,0.1558,155.8
678,R97,Zm523,Sutton Bonington,50%FC,R97,L4,6,2,Sutton Bonington,52.833265,-1.24906,UK,0.1808,180.8
681,R97,Zm523,Sutton Bonington,50%FC,R97,Stem,6,2,Sutton Bonington,52.833265,-1.24906,UK,0.291,291
849,R122,B73,Sutton Bonington,20%FC,R122,L6,1,2,Sutton Bonington,52.833265,-1.24906,UK,0.0216,21.6
712,R102,Zm523,Sutton Bonington,20%FC,R102,L5,2,2,Sutton Bonington,52.833265,-1.24906,UK,0.0113,11.3
737,R106,B73,Tarrafal,50%FC,R106,L4,2,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0765,76.5
805,R116,B73,Sutton Bonington,50%FC,R116,L4,7,2,Sutton Bonington,52.833265,-1.24906,UK,0.1386,138.6
856,R123,B73,Sutton Bonington,20%FC,R123,L6,13,2,Sutton Bonington,52.833265,-1.24906,UK,0.0078,7.8
725,R104,B73,Tarrafal,50%FC,R104,L5,1,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0522,52.2
693,R99,Zm523,Sutton Bonington,20%FC,R99,L5,2,2,Sutton Bonington,52.833265,-1.24906,UK,0.0608,60.8
710,R102,Zm523,Sutton Bonington,20%FC,R102,L3,2,2,Sutton Bonington,52.833265,-1.24906,UK,0.0567,56.7
846,R122,B73,Sutton Bonington,20%FC,R122,L3,1,2,Sutton Bonington,52.833265,-1.24906,UK,0.0575,57.5
708,R102,Zm523,Sutton Bonington,20%FC,R102,L1,2,2,Sutton Bonington,52.833265,-1.24906,UK,0.0072,7.2
803,R116,B73,Sutton Bonington,50%FC,R116,L2,7,2,Sutton Bonington,52.833265,-1.24906,UK,0.0192,19.2
855,R123,B73,Sutton Bonington,20%FC,R123,L5,13,2,Sutton Bonington,52.833265,-1.24906,UK,0.0638,63.8
844,R122,B73,Sutton Bonington,20%FC,R122,L1,1,2,Sutton Bonington,52.833265,-1.24906,UK,0.0056,5.6
854,R123,B73,Sutton Bonington,20%FC,R123,L4,13,2,Sutton Bonington,52.833265,-1.24906,UK,0.0874,87.4
692,R99,Zm523,Sutton Bonington,20%FC,R99,L4,2,2,Sutton Bonington,52.833265,-1.24906,UK,0.1358,135.8
848,R122,B73,Sutton Bonington,20%FC,R122,L5,1,2,Sutton Bonington,52.833265,-1.24906,UK,0.0849,84.9
711,R102,Zm523,Sutton Bonington,20%FC,R102,L4,2,2,Sutton Bonington,52.833265,-1.24906,UK,0.0525,52.5
738,R106,B73,Tarrafal,50%FC,R106,L5,2,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0437,43.7
802,R116,B73,Sutton Bonington,50%FC,R116,L1,7,2,Sutton Bonington,52.833265,-1.24906,UK,0.005,5
691,R99,Zm523,Sutton Bonington,20%FC,R99,L3,2,2,Sutton Bonington,52.833265,-1.24906,UK,0.0971,97.1
826,R119,B73,Sutton Bonington,20%FC,R119,L4,1,2,Sutton Bonington,52.833265,-1.24906,UK,0.1116,111.6
847,R122,B73,Sutton Bonington,20%FC,R122,L4,1,2,Sutton Bonington,52.833265,-1.24906,UK,0.1006,100.6
709,R102,Zm523,Sutton Bonington,20%FC,R102,L2,2,2,Sutton Bonington,52.833265,-1.24906,UK,0.025,25
722,R104,B73,Tarrafal,50%FC,R104,L2,1,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0196,19.6
845,R122,B73,Sutton Bonington,20%FC,R122,L2,1,2,Sutton Bonington,52.833265,-1.24906,UK,0.0205,20.5
825,R119,B73,Sutton Bonington,20%FC,R119,L3,1,2,Sutton Bonington,52.833265,-1.24906,UK,0.0676,67.6
828,R119,B73,Sutton Bonington,20%FC,R119,L6,1,2,Sutton Bonington,52.833265,-1.24906,UK,0.0288,28.8
690,R99,Zm523,Sutton Bonington,20%FC,R99,L2,2,2,Sutton Bonington,52.833265,-1.24906,UK,0.0321,32.1
741,R107,B73,Tarrafal,50%FC,R107,L2,13,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0186,18.6
823,R119,B73,Sutton Bonington,20%FC,R119,L1,1,2,Sutton Bonington,52.833265,-1.24906,UK,0.04,40
721,R104,B73,Tarrafal,50%FC,R104,L1,1,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0055,5.5
734,R106,B73,Tarrafal,50%FC,R106,L1,2,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0068,6.8
806,R116,B73,Sutton Bonington,50%FC,R116,L5,7,2,Sutton Bonington,52.833265,-1.24906,UK,0.1725,172.5
807,R116,B73,Sutton Bonington,50%FC,R116,L6,7,2,Sutton Bonington,52.833265,-1.24906,UK,0.068,68
804,R116,B73,Sutton Bonington,50%FC,R116,L3,7,2,Sutton Bonington,52.833265,-1.24906,UK,0.0637,63.7
743,R107,B73,Tarrafal,50%FC,R107,L4,13,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0846,84.6
636,R91,Zm523,Sao Domingos,50%FC,R91,L3,1,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.1019,101.9
827,R119,B73,Sutton Bonington,20%FC,R119,L5,1,2,Sutton Bonington,52.833265,-1.24906,UK,0.0983,98.3
853,R123,B73,Sutton Bonington,20%FC,R123,L3,13,2,Sutton Bonington,52.833265,-1.24906,UK,0.054,54
745,R107,B73,Tarrafal,50%FC,R107,Stem,13,2,Colonato,15.254874,-23.744146,Cabo Verde,0.1808,180.8
739,R106,B73,Tarrafal,50%FC,R106,Stem,2,2,Colonato,15.254874,-23.744146,Cabo Verde,0.1609,160.9
694,R99,Zm523,Sutton Bonington,20%FC,R99,Stem,2,2,Sutton Bonington,52.833265,-1.24906,UK,0.217,217
857,R123,B73,Sutton Bonington,20%FC,R123,Stem,13,2,Sutton Bonington,52.833265,-1.24906,UK,0.1206,120.6
829,R119,B73,Sutton Bonington,20%FC,R119,Stem,1,2,Sutton Bonington,52.833265,-1.24906,UK,0.2025,202.5
736,R106,B73,Tarrafal,50%FC,R106,L3,2,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0654,65.4
689,R99,Zm523,Sutton Bonington,20%FC,R99,L1,2,2,Sutton Bonington,52.833265,-1.24906,UK,0.0074,7.4
851,R123,B73,Sutton Bonington,20%FC,R123,L1,13,2,Sutton Bonington,52.833265,-1.24906,UK,0.0056,5.6
735,R106,B73,Tarrafal,50%FC,R106,L2,2,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0218,21.8
824,R119,B73,Sutton Bonington,20%FC,R119,L2,1,2,Sutton Bonington,52.833265,-1.24906,UK,0.0282,28.2
723,R104,B73,Tarrafal,50%FC,R104,L3,1,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0693,69.3
740,R107,B73,Tarrafal,50%FC,R107,L1,13,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0073,7.3
744,R107,B73,Tarrafal,50%FC,R107,L5,13,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0469,46.9
637,R91,Zm523,Sao Domingos,50%FC,R91,L4,1,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.1387,138.7
639,R91,Zm523,Sao Domingos,50%FC,R91,L6,1,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0039,3.9
635,R91,Zm523,Sao Domingos,50%FC,R91,L2,1,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0379,37.9
742,R107,B73,Tarrafal,50%FC,R107,L3,13,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0616,61.6
634,R91,Zm523,Sao Domingos,50%FC,R91,L1,1,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0112,11.2
638,R91,Zm523,Sao Domingos,50%FC,R91,L5,1,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0549,54.9
724,R104,B73,Tarrafal,50%FC,R104,L4,1,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0975,97.5
852,R123,B73,Sutton Bonington,20%FC,R123,L2,13,2,Sutton Bonington,52.833265,-1.24906,UK,0.0196,19.6
713,R102,Zm523,Sutton Bonington,20%FC,R102,Stem,2,2,Sutton Bonington,52.833265,-1.24906,UK,0.0934,93.4
640,R91,Zm523,Sao Domingos,50%FC,R91,Stem,1,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.3595,359.5
850,R122,B73,Sutton Bonington,20%FC,R122,Stem,1,2,Sutton Bonington,52.833265,-1.24906,UK,0.1882,188.2
808,R116,B73,Sutton Bonington,50%FC,R116,Stem,7,2,Sutton Bonington,52.833265,-1.24906,UK,0.2485,248.5
726,R104,B73,Tarrafal,50%FC,R104,Stem,1,2,Colonato,15.254874,-23.744146,Cabo Verde,0.1639,163.9
841,R121,B73,Sutton Bonington,20%FC,R121,L5,10,2,Sutton Bonington,52.833265,-1.24906,UK,0.1078,107.8
842,R121,B73,Sutton Bonington,20%FC,R121,L6,10,2,Sutton Bonington,52.833265,-1.24906,UK,0.0507,50.7
799,R115,B73,Sutton Bonington,50%FC,R115,L5,4,2,Sutton Bonington,52.833265,-1.24906,UK,0.1922,192.2
800,R115,B73,Sutton Bonington,50%FC,R115,L6,4,2,Sutton Bonington,52.833265,-1.24906,UK,0.1519,151.9
797,R115,B73,Sutton Bonington,50%FC,R115,L3,4,2,Sutton Bonington,52.833265,-1.24906,UK,0.0692,69.2
796,R115,B73,Sutton Bonington,50%FC,R115,L2,4,2,Sutton Bonington,52.833265,-1.24906,UK,0.0265,26.5
608,R87,Zm523,Tarrafal,50%FC,R87,L1,7,2,Colonato,15.254874,-23.744146,Cabo Verde,0.01,10
840,R121,B73,Sutton Bonington,20%FC,R121,L4,10,2,Sutton Bonington,52.833265,-1.24906,UK,0.0923,92.3
606,R86,Zm523,Tarrafal,50%FC,R86,L5,10,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0535,53.5
605,R86,Zm523,Tarrafal,50%FC,R86,L4,10,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0951,95.1
714,R103,Zm523,Sutton Bonington,20%FC,R103,L1,4,2,Sutton Bonington,52.833265,-1.24906,UK,0.0107,10.7
715,R103,Zm523,Sutton Bonington,20%FC,R103,L2,4,2,Sutton Bonington,52.833265,-1.24906,UK,0.0298,29.8
611,R87,Zm523,Tarrafal,50%FC,R87,L4,7,2,Colonato,15.254874,-23.744146,Cabo Verde,0.1012,101.2
687,R98,Zm523,Sutton Bonington,50%FC,R98,L6,11,2,Sutton Bonington,52.833265,-1.24906,UK,0.1057,105.7
609,R87,Zm523,Tarrafal,50%FC,R87,L2,7,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0369,36.9
798,R115,B73,Sutton Bonington,50%FC,R115,L4,4,2,Sutton Bonington,52.833265,-1.24906,UK,0.1614,161.4
610,R87,Zm523,Tarrafal,50%FC,R87,L3,7,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0992,99.2
839,R121,B73,Sutton Bonington,20%FC,R121,L3,10,2,Sutton Bonington,52.833265,-1.24906,UK,0.0475,47.5
686,R98,Zm523,Sutton Bonington,50%FC,R98,L5,11,2,Sutton Bonington,52.833265,-1.24906,UK,0.1306,130.6
604,R86,Zm523,Tarrafal,50%FC,R86,L3,10,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0819,81.9
716,R103,Zm523,Sutton Bonington,20%FC,R103,L3,4,2,Sutton Bonington,52.833265,-1.24906,UK,0.0686,68.6
795,R115,B73,Sutton Bonington,50%FC,R115,L1,4,2,Sutton Bonington,52.833265,-1.24906,UK,0.0086,8.6
660,R94,Zm523,Sutton Bonington,50%FC,R94,Stem,12,2,Sutton Bonington,52.833265,-1.24906,UK,0.3883,388.3
598,R85,Zm523,Tarrafal,50%FC,R85,L3,12,2,Colonato,15.254874,-23.744146,Cabo Verde,0.1032,103.2
786,R113,B73,Sao Domingos,50%FC,R113,L6,9,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0766,76.6
599,R85,Zm523,Tarrafal,50%FC,R85,L4,12,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0666,66.6
783,R113,B73,Sao Domingos,50%FC,R113,L3,9,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0615,61.5
601,R85,Zm523,Tarrafal,50%FC,R85,Stem,12,2,Colonato,15.254874,-23.744146,Cabo Verde,0.246,246
596,R85,Zm523,Tarrafal,50%FC,R85,L1,12,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0154,15.4
785,R113,B73,Sao Domingos,50%FC,R113,L5,9,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.1479,147.9
653,R93,Zm523,Sao Domingos,50%FC,R93,Stem,7,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.4241,424.1
614,R87,Zm523,Tarrafal,50%FC,R87,Stem,7,2,Colonato,15.254874,-23.744146,Cabo Verde,0.268,268
597,R85,Zm523,Tarrafal,50%FC,R85,L2,12,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0576,57.6
652,R93,Zm523,Sao Domingos,50%FC,R93,L5,7,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0794,79.4
784,R113,B73,Sao Domingos,50%FC,R113,L4,9,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.1316,131.6
650,R93,Zm523,Sao Domingos,50%FC,R93,L3,7,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.142,142
648,R93,Zm523,Sao Domingos,50%FC,R93,L1,7,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0167,16.7
787,R113,B73,Sao Domingos,50%FC,R113,Stem,9,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.3979,397.9
600,R85,Zm523,Tarrafal,50%FC,R85,L5,12,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0273,27.3
649,R93,Zm523,Sao Domingos,50%FC,R93,L2,7,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0558,55.8
651,R93,Zm523,Sao Domingos,50%FC,R93,L4,7,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.1517,151.7
658,R94,Zm523,Sutton Bonington,50%FC,R94,L5,12,2,Sutton Bonington,52.833265,-1.24906,UK,0.1753,175.3
843,R121,B73,Sutton Bonington,20%FC,R121,Stem,10,2,Sutton Bonington,52.833265,-1.24906,UK,0.1983,198.3
659,R94,Zm523,Sutton Bonington,50%FC,R94,L6,12,2,Sutton Bonington,52.833265,-1.24906,UK,0.0784,78.4
837,R121,B73,Sutton Bonington,20%FC,R121,L1,10,2,Sutton Bonington,52.833265,-1.24906,UK,0.0056,5.6
612,R87,Zm523,Tarrafal,50%FC,R87,L5,7,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0553,55.3
685,R98,Zm523,Sutton Bonington,50%FC,R98,L4,11,2,Sutton Bonington,52.833265,-1.24906,UK,0.1093,109.3
607,R86,Zm523,Tarrafal,50%FC,R86,Stem,10,2,Colonato,15.254874,-23.744146,Cabo Verde,0.267,267
720,R103,Zm523,Sutton Bonington,20%FC,R103,Stem,4,2,Sutton Bonington,52.833265,-1.24906,UK,0.2094,209.4
654,R94,Zm523,Sutton Bonington,50%FC,R94,L1,12,2,Sutton Bonington,52.833265,-1.24906,UK,0.0082,8.2
